Timestamp,FSR 1,FSR 2,FSR 3,FSR 4,FSR 5,FSR 6,FSR 7,FSR 8,FSR 9,FSR 10,FSR 11,FSR 12
1743705465750053,6,4,0,0,0,4,2,1,3,1,5,3
1743705465752097,5,1,2,0,3,1,13,3,4,2,2,0
1743705465754145,5,1,4,2,4,3,0,0,0,4,2,7
1743705465755106,6,8,4,1,0,3,3,10,21,0,5,2
1743705465757053,4,3,9,0,0,2,3,5,4,1,3,0
1743705465759204,12,0,4,4,4,2,3,0,6,5,0,2
1743705465761246,11,4,2,1,1,0,4,0,3,2,8,1
1743705465763090,6,2,0,2,2,0,1,4,3,0,1,4
1743705465764095,7,2,2,3,3,0,0,5,0,0,2,0
1743705465766083,7,2,1,0,2,2,2,1,0,0,3,2
1743705465767083,2,2,0,5,3,3,2,2,0,4,0,4
1743705465769098,5,3,0,6,4,2,1,1,0,3,1,2
1743705465770088,6,2,0,5,4,3,0,1,3,0,4,0
1743705465772086,2,0,3,3,3,4,3,4,0,2,3,0
1743705465773141,6,0,7,4,2,4,5,2,0,2,5,3
1743705465775088,6,0,2,3,4,4,1,2,0,4,3,5
1743705465776879,4,0,1,0,6,3,0,3,4,4,0,4
1743705465778702,1,3,3,1,4,3,4,3,0,5,3,4
1743705465780757,6,2,2,4,0,3,3,0,1,2,0,5
1743705465781754,6,3,8,2,0,3,3,4,1,2,3,4
1743705465783755,6,3,0,2,3,0,0,0,2,2,0,5
1743705465784753,10,4,14,4,1,17,3,5,4,3,1,3
1743705465786756,1,4,2,1,3,4,0,3,3,0,4,7
1743705465787755,0,4,3,4,3,14,3,5,0,3,4,3
1743705465789754,4,2,7,2,0,3,16,0,4,0,2,4
1743705465790754,4,3,1,1,0,4,3,3,4,5,3,1
1743705465794658,7,2,0,0,5,2,1,3,0,3,9,0
1743705465796655,3,2,4,3,3,2,2,3,2,0,3,4
1743705465797658,7,3,3,2,3,3,0,3,7,1,0,0
1743705465799703,5,0,0,3,1,0,0,5,1,0,2,4
1743705465800662,5,0,0,3,2,1,5,0,3,5,0,2
1743705465802651,5,0,5,3,0,2,0,3,0,3,4,2
1743705465803654,1,3,0,3,15,0,0,3,3,0,0,2
1743705465805653,4,4,0,2,3,4,5,3,3,0,2,0
1743705465806651,5,3,2,0,0,0,1,4,1,4,0,0
1743705465808520,4,5,2,7,1,2,1,6,4,0,3,2
1743705465810377,5,0,3,1,3,0,1,4,3,3,5,3
1743705465812000,3,0,0,4,3,2,6,3,0,0,4,4
1743705465813991,1,1,3,2,3,0,5,4,5,5,4,1
1743705465814998,2,1,12,3,2,17,4,4,2,0,3,0
1743705465816995,7,3,0,0,7,0,2,0,1,2,0,2
1743705465817995,3,1,5,3,6,2,2,3,3,2,3,1
1743705465819987,6,4,1,0,0,0,1,4,3,2,0,2
1743705465821989,3,0,5,3,0,5,5,2,3,4,4,2
1743705465823590,5,0,3,2,2,5,3,3,5,0,3,0
1743705465826207,7,3,3,3,2,13,3,3,1,3,3,4
1743705465827009,3,4,3,2,2,0,4,2,3,2,2,4
1743705465829378,6,0,4,4,5,3,4,5,5,3,1,2
1743705465830384,5,0,5,1,3,11,3,2,0,5,4,0
1743705465832375,2,2,0,4,1,3,1,1,4,0,3,1
1743705465833374,4,3,3,4,3,4,1,0,0,0,6,3
1743705465835372,4,0,0,4,3,0,4,0,0,2,0,1
1743705465836380,7,5,5,4,0,1,1,3,5,0,0,3
1743705465838374,6,4,1,4,2,1,1,2,4,4,3,2
1743705465840191,4,2,10,0,0,0,4,2,1,0,4,0
1743705465844032,5,0,3,4,0,4,3,3,2,3,3,3
1743705465845065,4,0,4,3,3,3,2,0,0,3,3,4
1743705465847525,5,1,3,1,0,0,3,0,4,0,3,3
1743705465849534,5,0,2,0,7,3,4,4,3,4,1,2
1743705465851574,3,0,1,3,4,0,3,1,3,2,0,3
1743705465853812,6,4,4,3,3,0,1,2,4,8,0,0
1743705465855310,1,3,3,3,0,2,0,3,1,1,2,4
1743705465920281,4,5,3,4,3,3,0,1,3,5,2,0
1743705465921780,8,3,0,0,0,0,2,2,0,4,3,4
1743705465922823,5,2,2,1,2,0,4,2,1,1,6,3
1743705465923379,6,4,5,4,0,0,3,4,4,2,2,0
1743705465924399,5,5,4,1,0,0,5,2,0,1,0,5
1743705465925569,6,1,0,2,0,3,2,2,1,2,0,5
1743705465926764,9,4,4,3,3,3,2,1,3,3,14,3
1743705465927268,8,3,0,0,4,4,0,1,2,2,0,5
1743705465928284,3,0,2,0,0,2,3,0,1,2,2,3
1743705465929287,4,8,5,0,0,3,0,19,0,0,6,1
1743705465933225,4,2,0,3,3,0,4,21,0,1,0,4
1743705465936811,2,6,4,3,7,6,0,0,4,3,6,3
1743705465938391,6,2,1,4,3,1,3,2,0,3,0,2
1743705465938888,4,3,3,2,4,0,1,2,4,4,2,3
1743705465939903,5,0,3,2,0,2,1,4,0,0,4,4
1743705465940904,5,1,0,0,3,2,0,0,2,4,4,3
1743705465942198,1,0,4,2,18,0,3,0,3,3,1,1
1743705465943476,5,5,5,2,2,0,3,3,2,2,0,3
1743705465944076,3,3,2,2,2,3,2,0,0,5,3,4
1743705465945243,8,4,3,1,4,2,0,2,3,2,2,4
1743705465946279,5,6,0,0,0,2,3,3,3,0,3,4
1743705465947245,2,3,5,1,0,2,5,3,0,0,3,4
1743705465947245,6,4,4,4,0,2,2,3,1,1,4,2
1743705465948303,6,3,3,3,4,10,0,0,0,4,1,1
1743705465949361,1,0,0,1,7,6,0,5,4,4,3,3
